Orthogroups	Cyanobacterium_aponinum_pcc_10605.ASM31767v1	Nostoc_punctiforme_pcc_73102.ASM2002v1	Oscillatoriales_cyanobacterium_jsc_12.ASM30994v1	Totals	Domains
OG0000284	0	5	0	5	HATPase_c (4),HATPase_c_2 (1),Response_reg (3),HisKA (3),SpoIIE (1),CHASE3 (1),GAF_2 (2),HAMP (2),GAF (1),HAMP_2 (1)
OG0000285	0	3	2	5	Rotamase_3 (3),Rotamase (5),Rotamase_2 (3)
OG0000286	0	3	2	5	Abhydrolase_6 (3),Hydrolase_4 (3),Abhydrolase_1 (3)
OG0000287	0	5	0	5	DUF29 (2)
OG0000288	0	1	4	5	
OG0000289	0	0	5	5	PAS_8 (5),PAS_9 (5),PAS_3 (5),HAMP (3),PAS (5),HATPase_c (4),Response_reg (1),dCache_1 (1),PAS_4 (4),HisKA (4),DUF4118 (1)
OG0000290	2	1	1	4	Pribosyl_synth (4),Pribosyltran (4),Pribosyltran_N (4)
OG0000291	2	1	1	4	MgtE (3),MgtE_N (3),CBS (3)
OG0000292	1	1	2	4	DUF1232 (3)
OG0000293	2	1	1	4	NTP_transferase (3),NTP_transf_3 (3)
OG0000294	1	2	1	4	MFS_1_like (3),MFS_1 (4),Sugar_tr (2)
OG0000295	1	3	0	4	Methyltransf_16 (1),Methyltransf_25 (3),PrmA (1),Methyltransf_18 (1),MTS (3),MetW (1),Methyltransf_31 (3),Ubie_methyltran (2),Methyltransf_12 (3),Methyltransf_23 (2),PCMT (1),Methyltransf_11 (3),Methyltransf_2 (2),Dimerisation2 (1)
OG0000296	1	2	1	4	DAGK_cat (4),YegS_C (4),MGS (1),NAD_kinase (1)
OG0000297	1	2	1	4	AhpC-TSA (3),Redoxin (3),Thioredoxin_2 (1),Thioredoxin_8 (1)
OG0000298	1	2	1	4	NAD_binding_2 (3),PDH_N (4),F420_oxidored (3),PDH_C (4),ApbA (1)
OG0000299	2	2	0	4	
OG0000300	4	0	0	4	FG-GAP (3),FG-GAP_3 (2),Calx-beta (3),SWM_repeat (1),Laminin_G_3 (1)
OG0000301	2	1	1	4	VapB_antitoxin (4)
OG0000302	1	1	2	4	ATP_bind_3 (3)
OG0000303	1	2	1	4	BAAT_C (4),DLH (4)
OG0000304	2	1	1	4	Glycos_transf_1 (4),Glyco_trans_1_4 (4),Glyco_trans_1_2 (4),Glyco_transf_4 (3)
OG0000305	2	1	1	4	ALAD (4)
OG0000306	1	2	1	4	Aldo_ket_red (4)
OG0000307	1	2	1	4	Na_H_Exchanger (3)
OG0000308	1	2	1	4	Exo_endo_phos (2),Cadherin_5 (1),Cadherin_4 (1),Big_9 (1),Phytase-like (2),HemolysinCabind (1),Phytase (1),PhoD (1),PhoD_N (1)
OG0000309	2	1	1	4	BPD_transp_1 (4),OppC_N (4)
OG0000310	2	1	1	4	
OG0000311	1	2	1	4	Phycobilisome (4)
OG0000312	4	0	0	4	BrnT_toxin (4)
OG0000313	2	2	0	4	TPR_2 (3),TPR_12 (2),TPR_1 (3),TPR_17 (2),TPR_11 (3),TPR_16 (3),TPR_6 (2),TPR_8 (3),TPR_7 (3),ANAPC5 (1),WD40 (1),TPR_10 (1)
OG0000314	2	1	1	4	SpoU_methylas_C (1),SpoU_methylase (4),SpoU_sub_bind (3)
OG0000315	1	2	1	4	CAAD (4)
OG0000316	2	1	1	4	Uma2 (4)
OG0000317	2	0	2	4	Phosphorylase (4)
OG0000318	2	1	1	4	Glycos_transf_2 (3),Glyco_transf_21 (3),Cellulose_synt (3),Glyco_tranf_2_3 (3),Glyco_trans_2_3 (3),PilZ (1)
OG0000319	2	1	1	4	ABC_tran (4)
OG0000320	2	1	1	4	Glycos_transf_2 (4),Glyco_tranf_2_3 (1)
OG0000321	2	1	1	4	Na_H_Exchanger (3),Usp (2)
OG0000322	1	2	1	4	PsaA_PsaB (4)
OG0000323	1	2	1	4	
OG0000324	2	1	1	4	ABC_tran (3),BCA_ABC_TP_C (3),AAA_23 (1),AAA_29 (1)
OG0000325	1	1	2	4	GXGXG (4),Glu_syn_central (4),Glu_synthase (4),GATase_2 (4)
OG0000326	2	1	1	4	FHA (4),ANAPC4_WD40 (1),WD40 (1),PrsW-protease (2),Yop-YscD_cpl (1)
OG0000327	2	1	1	4	
OG0000328	1	2	1	4	Pyr_redox_2 (3),Pyr_redox (3),NAD_binding_8 (2),FAD_binding_2 (1)
OG0000329	2	1	1	4	Gp_dh_N (4),Gp_dh_C (4)
OG0000330	3	1	0	4	Pkinase (4),PK_Tyr_Ser-Thr (4),CHASE2 (3),ABC1 (2)
OG0000331	1	1	2	4	PepSY_TM (1)
OG0000332	1	1	2	4	ABC_tran (4),AAA_21 (4)
OG0000333	2	1	1	4	KH_2 (3),MMR_HSR1 (4),FeoB_N (3),GTP_EFTU (2),DLP_helical (1),Ras (1)
OG0000334	2	1	1	4	HTH_26 (3),GrpE (1)
OG0000335	1	2	1	4	CPSase_L_D2 (2),Dala_Dala_lig_C (2),ATP-grasp (2),Dala_Dala_lig_N (2)
OG0000336	1	2	1	4	RibD_C (3)
OG0000337	3	0	1	4	CHAT (4),TPS (1),DUF5649 (1)
OG0000338	1	1	2	4	Glycos_transf_2 (2),Glyco_tranf_2_3 (2),Glyco_transf_21 (1)
OG0000339	2	1	1	4	RNB (3)
OG0000340	2	1	1	4	Pyr_redox_2 (1),FAD_binding_2 (4),Amino_oxidase (4),NAD_binding_8 (4),DAO (3),FAD_oxidored (2)
OG0000341	2	1	1	4	PIN (3)
OG0000342	1	2	1	4	Rotamase (2)
OG0000343	2	1	1	4	PGM_PMM_II (4),PGM_PMM_III (4),PGM_PMM_I (4),PGM_PMM_IV (3)
OG0000344	2	1	1	4	Fer4_10 (2),Fer4_17 (3),Fer4_7 (3),CCG (3),Fer4_8 (3),Fer4_4 (2)
OG0000345	2	1	1	4	Fer2_3 (2),Fer4_17 (3),Fer4_8 (2)
OG0000346	1	2	1	4	GDP_Man_Dehyd (4),Epimerase (4),3Beta_HSD (4),NmrA (4),NAD_binding_4 (3),RmlD_sub_bind (4),Polysacc_synt_2 (4),NAD_binding_10 (2),KR (1)
OG0000347	1	1	2	4	XFP (4),XFP_N (4),XFP_C (4)
OG0000348	2	1	1	4	HATPase_c (3),CBS (1),HisKA (3),Response_reg (3),PAS_8 (1),PAS_9 (1),PAS_3 (1),PAS (1)
OG0000349	1	2	1	4	Abhydrolase_2 (3),Hydrolase_4 (1),Peptidase_S9 (1),DUF1057 (1),Abhydrolase_6 (1),DLH (1),Abhydrolase_1 (1)
OG0000350	2	1	1	4	ATPase (4),AAA_25 (2)
OG0000351	2	1	1	4	BPD_transp_1_N (4),BPD_transp_1 (4)
OG0000352	1	1	2	4	NUDIX (4)
OG0000353	1	1	2	4	VanA_C (3),Rieske (3)
OG0000354	2	1	1	4	FAD_binding_3 (1),Pyr_redox_2 (4),FAD_binding_2 (1),NAD_binding_8 (1),Pyr_redox_3 (3),Pyr_redox (3),Thioredoxin (2),Glutaredoxin (1)
OG0000355	1	2	1	4	Metallophos (4),Metallophos_2 (3)
OG0000356	2	1	1	4	GSH-S_ATP (2),RimK (3),Rimk_N (1),ATP-grasp_3 (1),Mur_ligase_M (2),Cyanophycin_syn (2),Mur_ligase_C (2),CPSase_L_D2 (1)
OG0000357	1	2	1	4	Ferritin (4)
OG0000358	1	3	0	4	Band_7 (2)
OG0000359	2	1	1	4	Lactamase_B_3 (3),Lactamase_B_2 (2)
OG0000360	1	2	1	4	2OG-FeII_Oxy_3 (4)
OG0000361	1	2	1	4	PurK_C (3),Dala_Dala_lig_C (3),ATP-grasp (4),ATP-grasp_3 (3),GARS_A (1),CPSase_L_D2 (1)
OG0000362	2	1	1	4	DUF4359 (4)
OG0000363	1	2	1	4	ELFV_dehydrog (4),ELFV_dehydrog_N (4)
OG0000364	1	2	1	4	Uma2 (4)
OG0000365	1	2	1	4	ACP_syn_III_C (4),ACP_syn_III (4)
OG0000366	1	1	2	4	N6_N4_Mtase (3)
OG0000367	4	0	0	4	
OG0000368	2	1	1	4	DegT_DnrJ_EryC1 (3),Beta_elim_lyase (1),Aminotran_1_2 (2),Cys_Met_Meta_PP (1),Aminotran_5 (1)
OG0000369	1	2	1	4	DUF559 (3)
OG0000370	1	2	1	4	COX2 (3),COX2_TM (3)
OG0000371	1	3	0	4	ParE_toxin (3)
OG0000372	2	1	1	4	LptF_LptG (4)
OG0000373	1	2	1	4	Glycos_transf_3 (4),Glycos_trans_3N (4)
OG0000374	2	1	1	4	Proton_antipo_M (4)
OG0000375	1	1	2	4	BrnT_toxin (4)
OG0000376	1	2	1	4	Asparaginase_2 (4)
OG0000377	1	1	2	4	DUF4115 (3),HTH_25 (3),HTH_31 (1)
OG0000378	1	1	2	4	ABC_tran (4),NMT1_2 (4),NMT1 (2)
OG0000379	1	1	2	4	Methyltransf_25 (3),CMAS (3),MetW (2),Methyltransf_31 (3),Ubie_methyltran (3),Methyltransf_12 (3),Methyltransf_23 (3),Methyltransf_11 (3),Methyltransf_29 (1)
OG0000380	2	1	1	4	Coprogen_oxidas (3)
OG0000381	1	1	2	4	FHA (4),Yop-YscD_cpl (1),ABC1 (2),Pkinase (3),PK_Tyr_Ser-Thr (3)
OG0000382	2	1	1	4	VanY (4)
OG0000383	2	1	1	4	SBP_bac_5 (3)
OG0000384	2	1	1	4	DUF2808 (4)
OG0000385	2	1	1	4	Epimerase (4),GDP_Man_Dehyd (4),RmlD_sub_bind (2),3Beta_HSD (2)
OG0000386	1	1	2	4	SepF (4)
OG0000387	1	2	1	4	PBP_dimer (4),Transpeptidase (4)
OG0000388	1	1	2	4	
OG0000389	1	3	0	4	
OG0000390	1	2	1	4	CemA (4)
OG0000391	1	2	1	4	Hexapep_2 (2),Hexapep (3),Mac (1)
OG0000392	1	1	2	4	HTH_5 (4),HTH_20 (2),MarR_2 (1)
OG0000393	1	1	2	4	Uma2 (4)
OG0000394	2	1	1	4	Dus (4)
OG0000395	1	3	0	4	DUF389 (3)
OG0000396	1	2	1	4	cNMP_binding (4)
OG0000397	2	1	1	4	Sugar_tr (3),MFS_1 (3)
OG0000398	1	1	2	4	LRR_4 (3),LRR_6 (1),LRR_8 (1)
OG0000399	2	1	1	4	DUF1636 (2)
OG0000400	1	2	1	4	Glyco_hydro_4 (1),Ldh_1_C (4),Ldh_1_N (4),Shikimate_DH (1)
OG0000401	1	2	1	4	ACPS (4)
OG0000402	2	1	1	4	XisI (2)
OG0000403	1	2	1	4	ShlB (4),POTRA_2 (4),Omp85 (4)
OG0000404	1	2	1	4	Abhydrolase_6 (3),Hydrolase_4 (3),Abhydrolase_1 (3)
OG0000405	1	1	2	4	GSDH (1),PA14 (2),Calx-beta (1)
OG0000406	1	2	1	4	Flavin_Reduct (2),Lactamase_B (2),Flavodoxin_1 (1)
OG0000407	1	1	2	4	HD (4),HD_5 (4),Response_reg (3),GAF_2 (1),GAF (1)
OG0000408	1	1	2	4	ExbD (4)
OG0000409	1	2	1	4	HlyD_3 (3),Biotin_lipoyl_2 (3),HlyD_D23 (3),CusB_dom_1 (1)
OG0000410	1	2	1	4	Trp_syntA (3),His_biosynth (2),Ribul_P_3_epim (1)
OG0000411	2	1	1	4	Phycobilisome (3)
OG0000412	1	2	1	4	DUF262 (4),DUF1524 (4)
OG0000413	1	2	1	4	SNF2-rel_dom (3),ResIII (2),Helicase_C (3),DEAD (1),DUF3670 (2)
OG0000414	1	1	2	4	Peptidase_M24 (3),Peptidase_M24_C (1),Creatinase_N_2 (1),Creatinase_N (1)
OG0000415	1	2	1	4	CpeT (4)
OG0000416	1	1	2	4	DUF2079 (3)
OG0000417	1	2	1	4	KdpC (4)
OG0000418	1	2	1	4	E1-E2_ATPase (4),Hydrolase (4),Hydrolase_3 (4)
OG0000419	1	2	1	4	KdpA (4)
OG0000420	1	2	1	4	HATPase_c (4),HisKA (3)
OG0000421	2	1	1	4	CbiX (4)
OG0000422	1	1	2	4	
OG0000423	1	2	1	4	DNA_photolyase (3),FAD_binding_7 (3)
OG0000424	1	1	2	4	Bac_transf (4)
OG0000425	3	0	1	4	COP23 (4)
OG0000426	1	2	1	4	
OG0000427	2	1	1	4	ArsB (3),CitMHS (4),Na_sulph_symp (1),TrkA_C (1)
OG0000428	1	2	1	4	MltA (3),3D (3)
OG0000429	1	2	1	4	BPD_transp_1 (4)
OG0000430	2	1	1	4	CLP_protease (3)
OG0000431	1	2	1	4	DUF3134 (4)
OG0000432	1	2	1	4	Methyltransf_25 (4),MetW (2),Methyltransf_31 (4),Ubie_methyltran (4),Methyltransf_12 (4),Methyltransf_23 (4),Methyltransf_11 (4),Methyltransf_2 (1),MTS (1),PrmA (1),TehB (1)
OG0000433	1	2	1	4	2OG-FeII_Oxy_2 (4)
OG0000434	1	2	1	4	Trans_reg_C (4),Response_reg (4)
OG0000435	2	1	1	4	DUF4079 (3)
OG0000436	1	3	0	4	
OG0000437	1	2	1	4	ABC_tran (2),cNMP_binding (2),ABC_membrane (2),Peptidase_C39 (2)
OG0000438	1	1	2	4	TrkA_N (4)
OG0000439	1	2	1	4	ABC_tran (3)
OG0000440	1	1	2	4	PSI_PSAK (4)
OG0000441	1	2	1	4	POTRA_2 (4),Omp85 (4),POTRA (4)
OG0000442	1	1	2	4	BD-FAE (4),AXE1 (1),DLH (4),Peptidase_S9 (4),Peptidase_S15 (2),Esterase_PHB (1)
OG0000443	1	2	1	4	STAS (4),STAS_2 (4)
OG0000444	1	0	3	4	FHA (4)
OG0000445	1	1	2	4	Lactamase_B (4),Pyr_redox_2 (1),NAD_binding_9 (1)
OG0000446	1	2	1	4	Rhodanese (4),DUF2892 (1)
OG0000447	1	1	2	4	Guanylate_cyc (4),CHASE2 (4)
OG0000448	1	2	1	4	BacA (4)
OG0000449	1	2	1	4	PALP (4)
OG0000450	1	2	1	4	DUF4336 (3)
OG0000451	1	1	2	4	MgtC (3)
OG0000452	2	1	1	4	DUF433 (3)
OG0000453	1	2	1	4	NTP_transf_3 (3),IspD (1)
OG0000454	1	1	2	4	Ribosomal_S21 (4)
OG0000455	1	2	1	4	Peptidase_M23 (3),LysM (1)
OG0000456	1	2	1	4	FAD_binding_3 (3),FAD_binding_2 (2),NAD_binding_8 (2)
OG0000457	1	2	1	4	Lig_chan-Glu_bd (4),SBP_bac_3 (4),BPD_transp_1 (3)
OG0000458	2	1	1	4	Acetyltransf_3 (2),FR47 (2),Acetyltransf_1 (3),Acetyltransf_10 (3),Acetyltransf_7 (3)
OG0000459	1	2	1	4	HMA (4)
OG0000460	1	2	1	4	Pentapeptide (2),Pentapeptide_4 (2),Pentapeptide_3 (1)
OG0000461	1	1	2	4	DUF1816 (4)
OG0000462	3	0	1	4	FeoB_C (3),FeoB_Cyto (2),Gate (3),MMR_HSR1 (3),FeoB_N (3)
OG0000463	1	2	1	4	DUF1499 (4)
OG0000464	1	2	1	4	Bestrophin (3)
OG0000465	1	3	0	4	ABC_tran (4),SbmA_BacA (1),ABC_membrane_2 (4),ABC_membrane (3)
OG0000466	1	2	1	4	AAA_31 (4),CbiA (4),ArsA_ATPase (2),ParA (2),VirC1 (2)
OG0000467	1	2	1	4	HD (4),7TM-7TMR_HD (4),7TMR-HDED (4)
OG0000468	1	1	2	4	PsaL (4)
OG0000469	1	2	1	4	Methyltransf_3 (4),PCMT (1),Methyltransf_24 (4)
OG0000470	1	2	1	4	Response_reg (3)
OG0000471	1	1	2	4	ABM (1)
OG0000472	2	1	1	4	cobW (4)
OG0000473	2	1	1	4	HypA (4)
OG0000474	1	1	2	4	ABC_tran (2),AAA_21 (2),SMC_N (1),AAA_23 (1),AAA_15 (1)
OG0000475	1	2	1	4	Phage_holin_4_2 (3)
OG0000476	1	1	2	4	PEP-utilizers (4),PEP-utilizers_C (4),PPDK_N (4),Intein_splicing (1)
OG0000477	1	2	1	4	ADH_N (3),ADH_zinc_N (3),ADH_zinc_N_2 (3)
OG0000478	1	2	1	4	HlyD_3 (2),Biotin_lipoyl_2 (2),CusB_dom_1 (2),HlyD_D23 (1)
OG0000479	1	0	3	4	Peptidase_M23 (4)
OG0000480	1	1	2	4	FUR (3)
OG0000481	1	2	1	4	FIST (4),FIST_C (4)
OG0000482	1	2	1	4	Uma2 (4)
OG0000483	1	3	0	4	
OG0000484	0	4	0	4	
OG0000485	0	4	0	4	
OG0000486	0	4	0	4	
OG0000487	0	4	0	4	AAA_5 (1),AAA (1)
OG0000488	0	4	0	4	
OG0000489	0	4	0	4	
OG0000490	0	4	0	4	DUF347 (2)
OG0000491	0	3	1	4	DUF2141 (3)
OG0000492	0	4	0	4	P-loop_TraG (1),DUF87 (1),FtsK_SpoIIIE (1)
OG0000493	0	4	0	4	
OG0000494	0	4	0	4	
OG0000495	0	4	0	4	T4SS-DNA_transf (4),TraG-D_C (4),TrwB_AAD_bind (4)
OG0000496	0	4	0	4	CheB_methylest (4),Response_reg (1)
OG0000497	0	4	0	4	DDE_Tnp_Tn3 (4),DUF4158 (4)
OG0000498	0	2	2	4	HMA_2 (1),HTH_psq (1)
OG0000499	0	3	1	4	Peptidase_C14 (4),DUF4384 (3)
OG0000500	0	4	0	4	SNAP (1),TPR_12 (1),TPR_8 (1),Peptidase_C25 (1),CHAT (2),TPR_10 (1),CHASE2 (1)
OG0000501	0	4	0	4	TauD (1)
OG0000502	0	3	1	4	EndoU_bacteria (2),Endonuclease_NS (1)
OG0000503	0	3	1	4	Acetyltransf_3 (3),Acetyltransf_1 (3),Acetyltransf_4 (2)
OG0000504	0	3	1	4	HATPase_c (3),PHY (3),GAF (3),PAS_2 (3),HisKA (3)
OG0000505	0	3	1	4	Response_reg (3)
OG0000506	0	4	0	4	KR (4),adh_short (4),adh_short_C2 (4),Epimerase (1)
OG0000507	0	1	3	4	Peptidase_M23 (4)
OG0000508	0	4	0	4	Transgly_assoc (3)
OG0000509	0	3	1	4	
OG0000510	0	4	0	4	AAA_16 (1)
OG0000511	0	3	1	4	Fer4_NifH (3),ArsA_ATPase (3),AAA_31 (3),CbiA (3)
OG0000512	0	3	1	4	HEAT_2 (1),NACHT (4),SNAP (1),TPR_12 (1),TPR_MalT (1),TPR_8 (1),TPR_7 (1)
OG0000513	0	4	0	4	
OG0000514	0	3	1	4	CsbD (4)
OG0000515	0	4	0	4	
OG0000516	0	4	0	4	KR (1),adh_short (1),adh_short_C2 (1)
OG0000517	0	3	1	4	Uma2 (2)
OG0000518	0	3	1	4	AAA_35 (2),TIR_2 (2)
OG0000519	0	3	1	4	Peptidase_S8 (3),CARDB (1)
OG0000520	0	2	2	4	
OG0000521	0	3	1	4	Pro_CA (4)
OG0000522	0	1	3	4	HATPase_c (4),HAMP (1),HisKA (4),Response_reg (3),PAS_8 (2),PAS_9 (2),PAS_3 (1),PAS_4 (1),PAS (2),Ammonium_transp (1)
OG0000523	0	3	1	4	Glycos_transf_2 (4),Glyco_tranf_2_3 (3),Glyco_tranf_2_2 (2),Glyco_transf_21 (1)
OG0000524	0	3	1	4	Phage_sheath_1 (3),Phage_sheath_1C (3)
OG0000525	0	2	2	4	Acetyltransf_10 (3),Acetyltransf_1 (4),Acetyltransf_7 (4)
OG0000526	0	4	0	4	Phosphonate-bd (2),SBP_bac_3 (2),NMT1 (1)
OG0000527	0	4	0	4	TPP_enzyme_M (3),TPP_enzyme_N (3),TPP_enzyme_C (3)
OG0000528	0	4	0	4	p450 (4)
OG0000529	0	3	1	4	
OG0000530	0	3	1	4	Amidohydro_2 (2)
OG0000531	0	4	0	4	SGL (3),Arylesterase (1)
OG0000532	0	4	0	4	DUF2231 (4)
OG0000533	0	3	1	4	BLH_phosphatase (3),Y_phosphatase3 (1)
OG0000534	0	4	0	4	DDE_Tnp_2 (3),DDE_Tnp_1 (3)
OG0000535	0	4	0	4	Peripla_BP_1 (1),Peripla_BP_4 (1),Peripla_BP_3 (1)
OG0000536	0	4	0	4	SNAP (1),CHAT (2),TPR_10 (1),TPR_2 (1),TPR_1 (1),TPR_11 (1),TPR_16 (1),TPR_8 (1),TPR_7 (1)
OG0000537	0	4	0	4	
OG0000538	0	4	0	4	Beta_helix (1),HemolysinCabind (1),SLH (1)
OG0000539	0	3	1	4	DUF308 (2)
OG0000540	0	4	0	4	Acyl_transf_3 (2)
OG0000541	0	4	0	4	PRC (2),DUF2382 (1)
OG0000542	0	2	2	4	Peptidase_C39 (4),ABC_membrane (4),ABC_tran (4),Peptidase_C70 (4),cNMP_binding (2)
OG0000543	0	2	2	4	HlyD_3 (4),Biotin_lipoyl_2 (4),HlyD_D23 (2),CusB_dom_1 (1)
OG0000544	0	3	1	4	TetR_C_11 (1),TetR_C_7 (1),TetR_N (3)
OG0000545	0	2	2	4	DUF1565 (3),Beta_helix (3),NosD (3),Pectate_lyase_3 (1),SLH (1)
OG0000546	0	4	0	4	Cad (1)
OG0000547	0	4	0	4	Pentapeptide (1),Pentapeptide_4 (1)
OG0000548	0	3	1	4	Carot_N (1)
OG0000549	0	1	3	4	He_PIG (2),HemolysinCabind (1)
OG0000550	0	1	3	4	TPR_4 (2),SNAP (1),TPR_12 (3),TPR_16 (2),TPR_8 (3),CHAT (2),TPR_10 (3),TPR_7 (3),TPR_1 (1),TPR_2 (1)
OG0000551	0	1	3	4	DUF3368 (2)
OG0000552	1	1	1	3	DUF3386 (2)
OG0000553	1	1	1	3	tRNA_NucTran2_2 (3),PolyA_pol_RNAbd (3),PolyA_pol (3)
OG0000554	1	1	1	3	Epimerase (3),3Beta_HSD (1),Sacchrp_dh_NADP (2),NAD_binding_10 (3),DUF1731 (3),GDP_Man_Dehyd (2),NAD_binding_4 (1)
OG0000555	1	1	1	3	Glyco_hydro_38N (3),Glyco_hydro_38C (3),Alpha-mann_mid (3),Glyco_hydro38C2 (3),Glyco_hydro_57 (2)
OG0000556	1	1	1	3	Aldo_ket_red (2)
OG0000557	1	1	1	3	FA_desaturase (2)
OG0000558	1	1	1	3	FAD_binding_4 (3)
OG0000559	1	1	1	3	AAA_26 (3)
OG0000560	1	1	1	3	Semialdhyde_dhC (3),Semialdhyde_dh (3)
OG0000561	1	1	1	3	DHDPS (3)
OG0000562	1	1	1	3	RMMBL (3),RNase_J_C (3),Lactamase_B (3),Lactamase_B_2 (2)
OG0000563	1	1	1	3	BPD_transp_1 (3)
OG0000564	1	1	1	3	Glycos_transf_2 (2),Glyco_tranf_2_3 (2),Glyco_transf_21 (2),Glyco_trans_2_3 (1)
OG0000565	1	1	1	3	Queuosine_synth (2)
OG0000566	1	1	1	3	DndE (3)
OG0000567	1	1	1	3	PsbP (2)
OG0000568	1	1	1	3	Pribosyltran (1)
OG0000569	1	1	1	3	
OG0000570	1	1	1	3	PMSR (3)
OG0000571	1	1	1	3	NmrA (3),Epimerase (3),3Beta_HSD (3),Polysacc_synt_2 (1),NAD_binding_10 (3)
OG0000572	1	1	1	3	HAD_2 (2),Hydrolase (2)
OG0000573	1	1	1	3	UvrD-helicase (3),AAA_19 (3),UvrD_C (3)
OG0000574	1	1	1	3	Ribosomal_S14 (3)
OG0000575	1	1	1	3	MoaC (3)
OG0000576	1	1	1	3	
OG0000577	1	1	1	3	
OG0000578	1	1	1	3	IGPD (2)
OG0000579	1	1	1	3	DRTGG (2),AAA_26 (2)
OG0000580	1	1	1	3	1-cysPrx_C (2),AhpC-TSA (2),Redoxin (2)
OG0000581	3	0	0	3	Y1_Tnp (3)
OG0000582	1	1	1	3	Glycos_transf_2 (3),Glyco_tranf_2_3 (3),Glyco_transf_21 (3),Glyco_trans_2_3 (3)
OG0000583	1	1	1	3	DUF3318 (3)
OG0000584	1	1	1	3	
OG0000585	1	1	1	3	
OG0000586	1	1	1	3	TIC20 (2)
OG0000587	1	1	1	3	DUF2437 (2),FAA_hydrolase (2)
OG0000588	1	1	1	3	Ribosomal_S6 (2)
OG0000589	1	1	1	3	DUF1818 (2)
OG0000590	1	1	1	3	DUF760 (2)
OG0000591	1	1	1	3	ABC1 (2)
OG0000592	1	0	2	3	Trypsin_2 (3),Trypsin (2),TPR_2 (1),TPR_19 (1),TPR_14 (1),TPR_1 (1),TPR_17 (1),TPR_11 (1),TPR_16 (1),TPR_8 (1)
OG0000593	1	1	1	3	PspA_IM30 (3)
OG0000594	1	1	1	3	SpoIID (3)
OG0000595	1	1	1	3	DXP_synthase_N (2),Transketolase_C (2),Transket_pyr (2)
OG0000596	1	1	1	3	TrkA_N (2),NAD_binding_7 (1),Ion_trans_2 (1)
OG0000597	1	1	1	3	CobN-Mg_chel (3),DUF3479 (3)
OG0000598	2	1	0	3	DUF262 (3)
OG0000599	1	1	1	3	CPSase_L_D3 (2),Dala_Dala_lig_C (2),MGS (2),ATP-grasp (2),ATP-grasp_3 (2),CPSase_L_D2 (2)
OG0000600	1	1	1	3	
OG0000601	1	1	1	3	ABC_tran (3),ABC_tran_CTD (3),ABC_tran_Xtn (3)
OG0000602	1	1	1	3	YgbB (2)
OG0000603	1	1	1	3	MethyltransfD12 (3)
OG0000604	1	1	1	3	Gp_dh_N (3),Gp_dh_C (3)
OG0000605	1	1	1	3	SBF (3),SBF_like (3)
OG0000606	1	1	1	3	SMC_N (2),AAA_15 (1),AAA_23 (2),AAA_21 (2),SMC_hinge (2),AAA_29 (1)
OG0000607	1	1	1	3	MreD (3)
OG0000608	1	1	1	3	DUF561 (2)
OG0000609	1	1	1	3	BPD_transp_1 (3)
OG0000610	1	1	1	3	Aminotran_1_2 (3),Alliinase_C (2),DegT_DnrJ_EryC1 (3),Aminotran_5 (1)
OG0000611	1	1	1	3	adh_short (2),adh_short_C2 (2)
OG0000612	1	1	1	3	cNMP_binding (2),HTH_Crp_2 (2),Crp (2)
OG0000613	1	1	1	3	DUF3084 (2)
OG0000614	1	1	1	3	T2SSE (3)
OG0000615	1	1	1	3	Pribosyltran (3)
OG0000616	1	1	1	3	
OG0000617	1	1	1	3	DUF3531 (2)
OG0000618	1	1	1	3	
OG0000619	1	1	1	3	Pterin_bind (3)
OG0000620	1	1	1	3	TIM (3)
OG0000621	1	1	1	3	TPP_enzyme_M (2),TPP_enzyme_N (2),TPP_enzyme_C (2)
OG0000622	1	1	1	3	
OG0000623	1	1	1	3	Peptidase_M16 (3),Peptidase_M16_C (3)
OG0000624	1	1	1	3	p450 (2)
OG0000625	1	1	1	3	FemAB_like (3),Acetyltransf_6 (3)
OG0000626	1	1	1	3	His_Phos_1 (2)
OG0000627	1	1	1	3	Citrate_synt (2)
OG0000628	1	1	1	3	YidD (2)
OG0000629	1	1	1	3	CN_hydrolase (2),NAD_synthase (2)
OG0000630	1	1	1	3	NmrA (2),Epimerase (3),NAD_binding_10 (3),GDP_Man_Dehyd (3)
OG0000631	1	1	1	3	DHBP_synthase (3),GTP_cyclohydro2 (3)
OG0000632	1	1	1	3	ClpS (3)
OG0000633	1	1	1	3	tRNA_anti-codon (3),tRNA-synt_2 (3)
OG0000634	1	1	1	3	tRNA-synt_1b (2)
OG0000635	1	1	1	3	MTHFR (2)
OG0000636	1	1	1	3	
OG0000637	2	0	1	3	HI0933_like (3),FAD_binding_2 (3),Amino_oxidase (3),NAD_binding_8 (3),DAO (2),Pyr_redox (2),Rieske (2),FAD_binding_3 (1),Pyr_redox_2 (1),GIDA (1),FAD_oxidored (1)
OG0000638	1	1	1	3	Aminotran_3 (3)
OG0000639	1	1	1	3	SH3_3 (3)
OG0000640	1	1	1	3	PUCC (3),MFS_1 (3)
OG0000641	1	1	1	3	Inositol_P (3)
OG0000642	1	1	1	3	Glyco_transf_28 (3),Glyco_tran_28_C (3)
OG0000643	1	1	1	3	
OG0000644	1	1	1	3	Ribosomal_L33 (2)
OG0000645	1	1	1	3	Ribosomal_S18 (2)
OG0000646	1	1	1	3	Ribosomal_L10 (2)
OG0000647	1	1	1	3	Ribosomal_L12 (2),Ribosomal_L12_N (2)
